"title","genre","rating"
"Zwartboek","Drama, Thriller, War",7.7
"Santa Clarita Diet","Comedy, Horror",7.8
"Staged","Comedy, Drama",8.6
"Giri/Haji","Crime, Drama, Mystery",7.9
"Viimane piir","Action, Crime, Thriller",6.5
"Why Are You Like This?","Comedy",6.4
"Footloose","Drama, Music, Romance",6.6
"Tundmatu","Crime, Sci-Fi, Thriller",6.1
"Vorstipidu","Animation, Adventure, Comedy",6.1
"Hachi: A Dog's Tale","Biography, Drama, Family",8.1
"The Blues Brothers","Action, Adventure, Comedy",7.9
"Fruits Basket","Animation, Comedy, Drama",8.5
"Kontakt","Drama, Mystery, Sci-Fi",7.4
"Collateral","Crime, Drama, Mystery",6.8
"Turist","Action, Thriller",6
"Another Life","Adventure, Drama, Mystery",5
"12 Monkeys","Adventure, Drama, Mystery",7.7
"Tehisema","Drama, Mystery, Sci-Fi",6.7
"Laskja","Action, Crime, Thriller",5.8
"Easy","Comedy",6.9
"Seutateueob","Comedy, Drama, Romance",8.1
"Luke Cage","Action, Crime, Drama",7.3
"Kol","Crime, Horror, Mystery",7.1
"Südaöö Pariisis","Comedy, Fantasy, Romance",7.7
"Crazy Ex-Girlfriend","Comedy, Musical",7.8
"Saikojiman Gwaenchanha","Comedy, Drama, Romance",8.7
"Ropp vanaisa","Comedy",5.9
"Murder Mystery","Action, Comedy, Crime",6
"Space Force","Comedy",6.8
"Dirilis: Ertugrul","Action, Adventure, Drama",7.9
"Never Have I Ever","Comedy",7.9
"Reckoning","Thriller",6.6
"Climax","Drama, Horror, Music",7
"Over the Moon","Animation, Adventure, Comedy",6.4
"Criminal: UK","Crime, Drama, Thriller",7.6
"The Stand In","Comedy, Drama",4.6
"Death Note","Anime",9
"Marvel’s Daredevil","Action, Crime",8.7
"Leyla and Mecnun","Comedy",9.2
"Money Heist (La casa de papel)","Crime, Thriller",8.6
"Marvel’s The Punisher","Action, Crime",8.6
"Fullmetal Alchemist: Brotherhood","Anime",9.1
"One Punch Man","Anime",9
"Monty Python’s Flying Circus","Comedy",8.9
"Paranormal (Ma Waraa Al Tabiaa)","Horror",9.2
"College Romance","Comedy, Romance",9.1
"MindHunter","Crime, Drama",8.7
"Marvel’s Jessica Jones","Action, Fantasy",8.2
"Ash vs. Evil Dead","Action, Comedy, Horror",8.6
"Humsafar","Drama, Romance",9.1
"Zindagi Gulzar Hai","Romance",9
"The Assassination of Gianni Versace","Crime, Drama",8.5
"DOTA: Dragon’s Blood","Action, Anime",8.4
"The Originals","Fantasy, Horror",8.3
"Young Justice","Animation, Family",8.7
"46","Crime, Drama",8.7
"How to Sell Drugs Online (Fast)","Comedy, Crime",8.6
"Neon Genesis Evangelion","Action, Anime",8.6
"Pablo Escobar, el patron del mal","Crime, Drama",8.6
"The Dark Crystal: Age of Resistance","Adventure, Family, Fantasy",8.5
"Queer Eye","Reality TV",8.6
"Dirk Gently’s Holistic Detective Agency","Comedy, Fantasy",8.3
"Erased","Action, Anime",8.6
"Anne with an E","Drama",8.5
"Code Geass: Lelouch of the Rebellion","Action, Anime",8.6
"Borgen","Drama",8.5
"Puffin Rock","Animation, Family",9
"Derek","Comedy, Drama",8
"Lilyhammer","Crime, Drama",8
"Our Planet","Documentary, Family",9.8
"David Attenborough: A Life on Our Planet","Documentary",9.2
"Making a Murderer","Crime, Documentary",8.7
"The Last Dance","Documentary, Sport",9.7
"Beasts of No Nation","Drama, War",7.8
"Klaus","Animation, Family",8.2
"Dave Chappelle: Sticks and Stones","Comedy, Stand-Up Comedy",8.5
"Dragons: Race to the Edge","Animation, Family",8.5
"Okja","Action, Adventure, Sci-Fi",8
"F is for Family","Animation, Comedy",8
"Happy!","Comedy, Crime, Fantasy",8.3
"Divines","Drama",7.5
"ROMA","Drama",8
"Trollhunters","Animation, Family",8.5
"The Fundamentals of Caring","Comedy, Drama",7.4
"Black Mirror: Bandersnatch","Mystery, Sci-Fi, Thriller",7.4
"The Get Down","Drama, Music",8.4
"Voltron: Legendary Defender","Animation, Family",8.4
"Aunty Donna’s Big Ol’ House of Fun","Comedy",8.8
"Don’t F**k with Cats: Hunting an Internet Killer","Crime, Documentary",8.1
"Nobel","Thriller",8.3
"Mosul","Action, War",7.3
"The Seven Deadly Sins","Anime",8.3
"Carmen Sandiego","Animation, Family",8.3
"The Siege of Jadotville","Drama, War",7.3
"13TH","Crime, Documentary",8.2
"American Vandal","Drama",8.2
"Julie’s Greenroom","Family",8.7
"If Anything Happens I Love You","Drama",8.1
